season,episode_name,director,writer
6,Gossip,Paul Lieberstein,Paul Lieberstein
6,The Meeting,Randall Einhorn,Aaron Shure
6,The Promotion,Jennifer Celotta,Jennifer Celotta
6,Niagara (Parts 1&2),Paul Feig,Greg Daniels
6,Niagara (Parts 1&2),Paul Feig,Mindy Kaling
6,Mafia,David Rogers,Brent Forrester
6,The Lover,Lee Eisenberg;Gene Stupnitsky,Lee Eisenberg
6,The Lover,Lee Eisenberg;Gene Stupnitsky,Gene Stupnitsky
6,Koi Pond,Reginald Hudlin,Warren Lieberstein
6,Koi Pond,Reginald Hudlin,Halsted Sullivan
6,Double Date,Seth Gordon,Charlie Grandy
6,Murder,Greg Daniels,Daniel Chun
6,Shareholder Meeting,Charles McDougall,Justin Spitzer
6,Scott's Tots,B.J. Novak,Gene Stupnitsky
6,Scott's Tots,B.J. Novak,Lee Eisenberg
6,Secret Santa,Randall Einhorn,Mindy Kaling
6,The Banker,Jeffrey Blitz,Jason Kessler
6,Sabre,John Krasinski,Jennifer Celotta
6,The Manager and the Salesman,Marc Webb,Mindy Kaling
6,The Delivery (Parts 1&2),Seth Gordon;Harold Ramis,Daniel Chun
6,The Delivery (Parts 1&2),Seth Gordon;Harold Ramis,Charlie Grandy
6,St. Patrick's Day,Randall Einhorn,Jonathan Huges
6,New Leads,Brent Forrester,Brent Forrester
6,Happy Hour,Matt Sohn,B.J. Novak
6,Secretary's Day,Steve Carell,Mindy Kaling
6,Body Language,Mindy Kaling,Justin Spitzer
6,The Cover,Rainn Wilson,Gene Stupnitsky
6,The Cover,Rainn Wilson,Lee Eisenberg
6,The Chump,Randall Einhorn,Aaron Shure
6,Whistleblower,Paul Lieberstein,Warren Lieberstein
6,Whistleblower,Paul Lieberstein,Halsted Sullivan
7,Nepotism,Jeffrey Blitz,Daniel Chun
7,Counseling,Jeffrey Blitz,B.J. Novak
7,Andy's Play,John Scott,Charlie Grandy
7,s*x Ed,Paul Lieberstein,Paul Lieberstein
7,The Sting,Randall Einhorn,Mindy Kaling
7,Costume Contest,Dean Holland,Justin Spitzer
7,Christening,Alex Hardcastle,Peter Ocko
7,Viewing Party,Ken Whittingham,Jon Vitti
7,WUPHF.com,Danny Leiner,Aaron Shure
7,China,Charles McDougall,Halsted Sullivan
7,China,Charles McDougall,Warren Lieberstein
7,Classy Christmas (Parts 1&2),Rainn Wilson,Mindy Kaling
7,Ultimatum,David Rogers,Carrie Kemper
7,The Seminar,B.J. Novak,Steve Hely
7,The Search,Michael Spiller,Brent Forrester
7,PDA,Greg Daniels,Robert Padnick
7,Threat Level Midnight,Tucker Gates,B.J. Novak
7,Todd Packer,Randall Einhorn,Amelie Gillette
7,Garage Sale,Steve Carell,Jon Vitti
7,Training Day,Paul Lieberstein,Daniel Chun
7,Michael's Last Dundies,Mindy Kaling,Mindy Kaling
7,"Goodbye, Michael",Paul Feig,Greg Daniels
7,The Inner Circle,Matt Sohn,Charlie Grandy
7,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer
7,Search Committee (Parts 1&2),Jeffrey Blitz,Paul Lieberstein
8,The List,B.J. Novak,B.J. Novak
8,The Incentive,Charles McDougall,Paul Lieberstein
8,Lotto,John Krasinski,Charlie Grandy
8,Garden Party,David Rogers,Justin Spitzer
8,Spooked,Randall Einhorn,Carrie Kemper
8,Doomsday,Troy Miller,Daniel Chun
8,Pam's Replacement,Matt Sohn,Allison Silverman
8,Gettysburg,Jeffrey Blitz,Robert Padnick
8,Mrs. California,Charlie Grandy,Dan Greaney
8,Christmas Wishes,Ed Helms,Mindy Kaling
8,Trivia,B.J. Novak,Steve Hely
8,Pool Party,Charles McDougall,Owen Ellickson
8,Jury Duty,Eric Appel,Aaron Shure
8,Special Project,David Rogers,Amelie Gillette
8,Tallahassee,Matt Sohn,Daniel Chun
8,After Hours,Brian Baumgartner,Halsted Sullivan
8,After Hours,Brian Baumgartner,Warren Lieberstein
8,Test The Store,Brent Forrester,Mindy Kaling
8,Last Day In Florida,Matt Sohn,Robert Padnick
8,Get The Girl,Rainn Wilson,Charlie Grandy
8,Welcome Party,Ed Helms,Steve Hely
8,Angry Andy,Claire Scanlon,Justin Spitzer
8,Fundraiser,David Rogers,Owen Ellickson
8,Turf War,Daniel Chun,Warren Lieberstein
8,Turf War,Daniel Chun,Halsted Sullivan
8,Free Family Portrait Studio,B.J. Novak,B.J. Novak
